node,system,frequency,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16
BL37,body,1,-0.644491,0.503724,0.205388,0.333642,0.763184,-0.010632,0.226445,0.618779,0.578179,0.397497,-0.233669,0.105567,-0.410081,0.241068,0.070884,0.051889
BL38,body,1,-0.367595,0.567631,0.460309,0.377256,0.571675,0.012918,0.288036,0.549652,0.402099,0.430403,-0.113379,0.448645,-0.167958,-0.090978,0.243741,0.077569
BL39,body,1,-0.756423,0.320038,0.219717,0.209169,0.824605,-0.020402,0.272343,0.620988,0.072004,0.307869,0.217050,0.211860,-0.194443,0.048994,-0.019059,0.124190
BL4,body,1,-1.017608,0.635151,0.361681,0.357683,0.639092,-0.068329,0.380430,0.510312,0.438154,0.362769,-0.012787,-0.069954,-0.528998,0.114917,0.039408,0.136813
BL41,body,1,-0.734039,0.344447,0.355463,0.543538,0.727377,-0.150073,0.229206,0.774535,0.427682,0.379769,0.001513,0.015845,-0.383391,-0.065232,0.079574,0.015031
BL42,body,1,-0.476535,0.676504,0.286576,0.551703,0.981424,-0.150047,0.089309,0.971622,0.078765,0.503947,0.231496,0.182203,0.067467,0.242344,-0.264196,0.416442
BL43,body,1,-0.665131,0.426845,0.346844,0.320959,1.016838,0.115394,0.164912,0.441689,0.480777,0.103824,0.048183,0.053117,-0.250649,0.129986,0.324378,0.006092
BL44,body,1,-0.754075,0.200506,0.510016,0.293646,0.762909,0.077552,0.529622,0.831847,0.280107,0.156577,0.180892,0.008562,-0.446712,0.241582,0.054914,0.310607
BL45,body,1,-0.709691,0.520555,0.339903,0.145558,0.785497,0.268867,0.212212,0.567693,0.202617,0.238303,0.028876,0.121466,-0.466734,0.257416,0.191735,0.434878
BL46,body,1,-0.691987,0.644508,0.317611,0.280385,1.059833,-0.219061,0.071242,0.307338,0.579417,0.351421,-0.129531,0.176625,-0.101413,0.033529,-0.150594,0.034165
BL47,body,1,-0.626209,0.459978,0.239860,0.461637,0.954278,-0.089749,0.066416,0.648691,0.471593,0.265843,-0.172747,-0.050212,-0.550886,0.096828,0.014519,0.044393
BL48,body,1,-0.574589,0.289555,0.225390,0.008693,1.144078,0.286463,0.297964,0.336730,0.284930,0.351162,0.019254,-0.016414,-0.358381,0.178384,0.167849,-0.052211
BL49,body,1,-0.641759,0.495524,0.306691,0.034082,1.001947,0.080503,0.289797,0.517659,0.364838,0.233487,-0.196361,-0.150207,-0.465899,0.076161,-0.091804,0.228146
BL5,body,1,-0.514128,0.105376,0.039543,0.547735,0.894125,0.023904,-0.127846,0.434702,0.112793,0.504939,0.060252,0.182525,-0.208056,0.116961,0.308833,0.207252
BL50,body,1,-0.523734,0.645125,0.085926,0.331734,0.761427,-0.165200,0.312826,0.770454,0.310933,0.404234,0.042392,0.201716,-0.546848,0.083582,0.170342,0.270998
BL51,body,1,-0.617217,0.583154,0.179269,0.531577,0.959375,-0.206995,0.000046,0.584220,0.207104,0.451774,0.096090,-0.140710,-0.393165,0.277196,0.016292,0.449839
BL52,body,1,-0.539991,0.669983,0.284988,0.559326,0.700042,-0.240105,0.289575,0.626485,0.503426,0.170247,-0.102292,-0.207214,-0.474851,-0.058011,-0.116850,0.150025
BL53,body,1,-0.754369,0.400103,0.267240,0.309388,0.787593,-0.239235,0.291818,0.482758,0.305835,0.220646,-0.213650,0.176749,-0.270351,0.432487,-0.041238,0.292353
BL54,body,1,-0.809109,0.288407,0.155171,0.714646,0.757799,0.225400,0.035040,0.449879,0.410329,0.101673,-0.032483,-0.296229,-0.311062,-0.058707,0.110054,0.441281
