sheet,no,first_author,year,treatment,acupoints_raw,acupoints_list
2012_acupuncture_SR,19,Lv,2007,Needle acupuncture,"GV24, GV20, EX-HN1, PC6, HT7, ST36, SP6, EX-HN22, BL62, KI6, KI3, PC7, LI4, LR3, GB43, BL15, BL23","[""GV24"", ""GV20"", ""EX-HN1"", ""PC6"", ""HT7"", ""ST36"", ""SP6"", ""EX-HN22"", ""BL62"", ""KI6"", ""KI3"", ""PC7"", ""LI4"", ""LR3"", ""GB43"", ""BL15"", ""BL23""]"
2012_acupuncture_SR,21,Nordio,2008,Acupressure,HT7(논문에는 H7이라고 되어있음),"[""HT7(논문에는 H7이라고 되어있음)""]"
2012_acupuncture_SR,22,Reza,2010,acupressure,"PC6, HT7, KI1, SP6, EX-HN22","[""PC6"", ""HT7"", ""KI1"", ""SP6"", ""EX-HN22""]"
2012_acupuncture_SR,23,Sok,2005,acupressure,"(Ear) Zhenjing, Bailing","[""(Ear) Zhenjing"", ""Bailing""]"
2012_acupuncture_SR,24,Suen,2002,acupressure,"(Ear) Shenmen, Heart, Kidney, Liver, Spleen, Occiput, Subcortex","[""(Ear) Shenmen"", ""Heart"", ""Kidney"", ""Liver"", ""Spleen"", ""Occiput"", ""Subcortex""]"
2012_acupuncture_SR,27,Tian,2006,Needle acupuncture,"GV20, EX-HN1, HT7, SP6, EX-HN22","[""GV20"", ""EX-HN1"", ""HT7"", ""SP6"", ""EX-HN22""]"
2012_acupuncture_SR,28,Tsay,2003,acupressure,"HT7, KI1, (Ear) Shenmen","[""HT7"", ""KI1"", ""(Ear) Shenmen""]"
2012_acupuncture_SR,29,Tsay,2004,acupressure/electroacupuncture,"KI1, ST36, GB34, SP6","[""KI1"", ""ST36"", ""GB34"", ""SP6""]"
2012_acupuncture_SR,30,Ye,2008,Needle acupuncture,"CV12, CV10, CV6, CV4, KI17, ST24, ST31, ST30","[""CV12"", ""CV10"", ""CV6"", ""CV4"", ""KI17"", ""ST24"", ""ST31"", ""ST30""]"
2012_acupuncture_SR,32,Zhao,2010,Needle acupuncture,"KI6, BL62","[""KI6"", ""BL62""]"
2012_acupuncture_SR,33,Zhu,2005,electroacupuncture,"BL23, PC6, HT7, ST36, SP6","[""BL23"", ""PC6"", ""HT7"", ""ST36"", ""SP6""]"
