paper_no,first_author,year,original_acupoint,standard_acupoint,system,action,reason
13,Su J,2014,ST36,ST36,body,keep,표준 체침 경혈 코드
13,Su J,2014,BL23,BL23,body,keep,표준 체침 경혈 코드
13,Su J,2014,BL60,BL60,body,keep,표준 체침 경혈 코드
13,Su J,2014,BL62,BL62,body,keep,표준 체침 경혈 코드
13,Su J,2014,KI3,KI3,body,keep,표준 체침 경혈 코드
13,Su J,2014,KI6,KI6,body,keep,표준 체침 경혈 코드
13,Su J,2014,PC6,PC6,body,keep,표준 체침 경혈 코드
13,Su J,2014,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
14,Sun ZY,2010,SP6,SP6,body,keep,표준 체침 경혈 코드
14,Sun ZY,2010,KI1,KI1,body,keep,표준 체침 경혈 코드
14,Sun ZY,2010,KI3,KI3,body,keep,표준 체침 경혈 코드
15,Tan Y,2012,HT7,HT7,body,keep,표준 체침 경혈 코드
15,Tan Y,2012,SP6,SP6,body,keep,표준 체침 경혈 코드
15,Tan Y,2012,Anmian,ANMIAN,body,map,명명된 체침/기혈 표준화
16,Tao HX,2009,SP6,SP6,body,keep,표준 체침 경혈 코드
16,Tao HX,2009,PC6,PC6,body,keep,표준 체침 경혈 코드
16,Tao HX,2009,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
16,Tao HX,2009,Taiyang,TAIYANG,body,map,명명된 체침/기혈 표준화
16,Tao HX,2009,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
17,Tu JH,2012,HT7,HT7,body,keep,표준 체침 경혈 코드
17,Tu JH,2012,ST36,ST36,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,GV20,GV20,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,HT7,HT7,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,SP6,SP6,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,ST25,ST25,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,ST36,ST36,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL15,BL15,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL18,BL18,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL19,BL19,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL20,BL20,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL21,BL21,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL23,BL23,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL24,BL24,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL26,BL26,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL40,BL40,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,BL57,BL57,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,PC6,PC6,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,LR3,LR3,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,GV4,GV4,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,GV14,GV14,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,GV24,GV24,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,CV4,CV4,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,CV6,CV6,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,CV12,CV12,body,keep,표준 체침 경혈 코드
18,Wang LL,2012,Anmian,ANMIAN,body,map,명명된 체침/기혈 표준화
19,Xia XF,2012,GV20,GV20,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,BL15,BL15,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,BL23,BL23,body,keep,표준 체침 경혈 코드
19,Xia XF,2012,GV4,GV4,body,keep,표준 체침 경혈 코드
